datetime,temp_pred,humidity_pred
2025-04-28 01:00:00,17.292181,91.00697
2025-04-28 02:00:00,17.816517,88.44533
2025-04-28 03:00:00,19.072826,84.78322
2025-04-28 04:00:00,19.932669,80.6236
2025-04-28 05:00:00,21.234747,74.723015
2025-04-28 06:00:00,22.975006,68.51102
2025-04-28 07:00:00,24.129446,64.980484
2025-04-28 08:00:00,25.334194,58.264004
2025-04-28 09:00:00,25.887945,55.584026
2025-04-28 10:00:00,26.186205,52.990616
2025-04-28 11:00:00,26.65243,52.286774
2025-04-28 12:00:00,26.243158,53.288937
2025-04-28 13:00:00,25.536787,54.646446
2025-04-28 14:00:00,24.132235,58.42471
2025-04-28 15:00:00,23.669926,59.73104
2025-04-28 16:00:00,22.406292,63.712032
2025-04-28 17:00:00,21.047356,67.885155
2025-04-28 18:00:00,20.621742,71.5938
2025-04-28 19:00:00,18.623781,75.04855
2025-04-28 20:00:00,17.737211,79.006485
2025-04-28 21:00:00,16.596031,82.39675
2025-04-28 22:00:00,16.399942,83.46351
2025-04-28 23:00:00,16.02744,84.29208
2025-04-29 00:00:00,17.809464,90.686516
2025-04-29 01:00:00,17.795958,88.86757
2025-04-29 02:00:00,18.613848,84.64239
2025-04-29 03:00:00,20.29998,79.66005
2025-04-29 04:00:00,21.24903,74.72702
2025-04-29 05:00:00,22.652672,68.887856
2025-04-29 06:00:00,24.24899,62.89037
2025-04-29 07:00:00,25.102512,60.52217
2025-04-29 08:00:00,25.947317,54.77887
2025-04-29 09:00:00,26.264332,53.645702
2025-04-29 10:00:00,26.051807,52.609974
2025-04-29 11:00:00,26.247782,53.15743
2025-04-29 12:00:00,25.564812,55.060783
2025-04-29 13:00:00,24.712807,57.076473
2025-04-29 14:00:00,23.224716,61.774746
2025-04-29 15:00:00,22.590519,63.298935
2025-04-29 16:00:00,21.341606,67.16461
2025-04-29 17:00:00,19.923555,71.70264
2025-04-29 18:00:00,19.519886,75.32078
2025-04-29 19:00:00,17.589678,78.64744
2025-04-29 20:00:00,16.746971,82.52278
2025-04-29 21:00:00,15.821544,85.2851
2025-04-29 22:00:00,15.8513155,85.4181
2025-04-29 23:00:00,15.828175,85.21648
